fetch_card_id,image_url,name,card_code,rarity,print_finish,set_name
mtg_99_m_acr_normal,https://card-images.fetchtcg.com/mtg/2494/large/mtg_99_m_acr_normal.png,Sword of Feast and Famine,99,Mythic,Normal,Assassin's Creed
mtg_227_desolate-lighthouse_r_avr_foil,https://card-images.fetchtcg.com/mtg/2499/large/mtg_227_desolate-lighthouse_r_avr_foil.png,Desolate Lighthouse,227_desolate-lighthouse,Rare,Foil,Avacyn Restored
mtg_227_desolate-lighthouse_r_avr_normal,https://card-images.fetchtcg.com/mtg/2499/large/mtg_227_desolate-lighthouse_r_avr_normal.png,Desolate Lighthouse,227_desolate-lighthouse,Rare,Normal,Avacyn Restored
mtg_atla-107_M_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-107_M_standard_foil.png,"Koh, the Face Stealer",107,Mythic,Foil,Avatar The Last Airbender
mtg_atla-107_M_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-107_M_standard_normal.png,"Koh, the Face Stealer",107,Mythic,Normal,Avatar The Last Airbender
mtg_atla-116_R_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-116_R_standard_foil.png,Raven Eagle,116,Rare,Foil,Avatar The Last Airbender
mtg_atla-116_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-116_R_standard_normal.png,Raven Eagle,116,Rare,Normal,Avatar The Last Airbender
mtg_atla-144_R_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-144_R_standard_foil.png,The Last Agni Kai,144,Rare,Foil,Avatar The Last Airbender
mtg_atla-144_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-144_R_standard_normal.png,The Last Agni Kai,144,Rare,Normal,Avatar The Last Airbender
mtg_atla-165_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-165_R_standard_normal.png,Avatar Destiny,165,Rare,Normal,Avatar The Last Airbender
mtg_atla-178_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-178_R_standard_normal.png,Elemental Teachings,178,Rare,Normal,Avatar The Last Airbender
mtg_atla-181_R_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-181_R_standard_foil.png,Great Divide Guide,181,Rare,Foil,Avatar The Last Airbender
mtg_atla-181_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-181_R_standard_normal.png,Great Divide Guide,181,Rare,Normal,Avatar The Last Airbender
mtg_atla-203_R_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-203_R_standard_foil.png,"Aang, at the Crossroads",203,Rare,Foil,Avatar The Last Airbender
mtg_atla-203_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-203_R_standard_normal.png,"Aang, at the Crossroads",203,Rare,Normal,Avatar The Last Airbender
mtg_atla-208_R_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-208_R_standard_foil.png,"Azula, Cunning Usurper",208,Rare,Foil,Avatar The Last Airbender
mtg_atla-208_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-208_R_standard_normal.png,"Azula, Cunning Usurper",208,Rare,Normal,Avatar The Last Airbender
mtg_atla-209_R_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-209_R_standard_foil.png,Beifong's Bounty Hunters,209,Rare,Foil,Avatar The Last Airbender
mtg_atla-209_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-209_R_standard_normal.png,Beifong's Bounty Hunters,209,Rare,Normal,Avatar The Last Airbender
mtg_atla-239_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-239_R_standard_normal.png,Sandbender Scavengers,239,Rare,Normal,Avatar The Last Airbender
mtg_atla-242_R_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-242_R_standard_foil.png,"Sokka, Tenacious Tactician",242,Rare,Foil,Avatar The Last Airbender
mtg_atla-242_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-242_R_standard_normal.png,"Sokka, Tenacious Tactician",242,Rare,Normal,Avatar The Last Airbender
mtg_atla-246_R_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-246_R_standard_foil.png,"Toph, Hardheaded Teacher",246,Rare,Foil,Avatar The Last Airbender
mtg_atla-246_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-246_R_standard_normal.png,"Toph, Hardheaded Teacher",246,Rare,Normal,Avatar The Last Airbender
mtg_atla-261_M_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-261_M_standard_foil.png,The Walls of Ba Sing Se,261,Mythic,Foil,Avatar The Last Airbender
mtg_atla-261_M_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-261_M_standard_normal.png,The Walls of Ba Sing Se,261,Mythic,Normal,Avatar The Last Airbender
mtg_atla-27_M_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-27_M_standard_foil.png,The Legend of Yangchen,27,Mythic,Foil,Avatar The Last Airbender
mtg_atla-27_M_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-27_M_standard_normal.png,The Legend of Yangchen,27,Mythic,Normal,Avatar The Last Airbender
mtg_atla-276_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-276_R_standard_normal.png,Realm of Koh,276,Rare,Normal,Avatar The Last Airbender
mtg_atla-278_R_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-278_R_standard_foil.png,Secret Tunnel,278,Rare,Foil,Avatar The Last Airbender
mtg_atla-278_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-278_R_standard_normal.png,Secret Tunnel,278,Rare,Normal,Avatar The Last Airbender
mtg_atla-69_M_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-69_M_standard_normal.png,Secret of Bloodbending,69,Mythic,Normal,Avatar The Last Airbender
mtg_atla-76_R_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-76_R_standard_foil.png,"Ty Lee, Chi Blocker",76,Rare,Foil,Avatar The Last Airbender
mtg_atla-76_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-76_R_standard_normal.png,"Ty Lee, Chi Blocker",76,Rare,Normal,Avatar The Last Airbender
mtg_atla-77_R_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-77_R_standard_foil.png,The Unagi of Kyoshi Island,77,Rare,Foil,Avatar The Last Airbender
mtg_atla-77_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-77_R_standard_normal.png,The Unagi of Kyoshi Island,77,Rare,Normal,Avatar The Last Airbender
mtg_atla-78_M_standard_foil,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-78_M_standard_foil.png,"Wan Shi Tong, Librarian",78,Mythic,Foil,Avatar The Last Airbender
mtg_atla-78_M_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-78_M_standard_normal.png,"Wan Shi Tong, Librarian",78,Mythic,Normal,Avatar The Last Airbender
mtg_atla-87_R_standard_normal,https://card-images.fetchtcg.com/mtg/4390/large/mtg_atla-87_R_standard_normal.png,Boiling Rock Rioter,87,Rare,Normal,Avatar The Last Airbender
mtg_atlae-125_R_standard_foil,https://card-images.fetchtcg.com/mtg/4391/large/mtg_atlae-125_R_standard_foil.png,"Smellerbee, Rebel Fighter",125,Rare,Foil,Avatar The Last Airbender Eternal-Legal
mtg_atlae-125_R_standard_normal,https://card-images.fetchtcg.com/mtg/4391/large/mtg_atlae-125_R_standard_normal.png,"Smellerbee, Rebel Fighter",125,Rare,Normal,Avatar The Last Airbender Eternal-Legal
mtg_atlae-145_M_standard_foil,https://card-images.fetchtcg.com/mtg/4391/large/mtg_atlae-145_M_standard_foil.png,"Toph, Earthbending Master",145,Mythic,Foil,Avatar The Last Airbender Eternal-Legal
mtg_atlae-145_M_standard_normal,https://card-images.fetchtcg.com/mtg/4391/large/mtg_atlae-145_M_standard_normal.png,"Toph, Earthbending Master",145,Mythic,Normal,Avatar The Last Airbender Eternal-Legal
mtg_atlae-248_R_standard_foil,https://card-images.fetchtcg.com/mtg/4391/large/mtg_atlae-248_R_standard_foil.png,"Bumi, Eclectic Earthbender",248,Rare,Foil,Avatar The Last Airbender Eternal-Legal
mtg_atlae-248_R_standard_normal,https://card-images.fetchtcg.com/mtg/4391/large/mtg_atlae-248_R_standard_normal.png,"Bumi, Eclectic Earthbender",248,Rare,Normal,Avatar The Last Airbender Eternal-Legal
mtg_17_m_bfz_foil,https://card-images.fetchtcg.com/mtg/2507/large/mtg_17_m_bfz_foil.png,Void Winnower,17,Mythic,Foil,Battle for Zendikar
mtg_17_m_bfz_normal,https://card-images.fetchtcg.com/mtg/2507/large/mtg_17_m_bfz_normal.png,Void Winnower,17,Mythic,Normal,Battle for Zendikar
mtg_215_r_bfz_foil,https://card-images.fetchtcg.com/mtg/2507/large/mtg_215_r_bfz_foil.png,"Munda, Ambush Leader",215,Rare,Foil,Battle for Zendikar
mtg_215_r_bfz_normal,https://card-images.fetchtcg.com/mtg/2507/large/mtg_215_r_bfz_normal.png,"Munda, Ambush Leader",215,Rare,Normal,Battle for Zendikar
mtg_81_r_bfz_foil,https://card-images.fetchtcg.com/mtg/2507/large/mtg_81_r_bfz_foil.png,Prism Array,81,Rare,Foil,Battle for Zendikar
mtg_81_r_bfz_normal,https://card-images.fetchtcg.com/mtg/2507/large/mtg_81_r_bfz_normal.png,Prism Array,81,Rare,Normal,Battle for Zendikar
mtg_85_r_bfz_foil,https://card-images.fetchtcg.com/mtg/2507/large/mtg_85_r_bfz_foil.png,Scatter to the Winds,85,Rare,Foil,Battle for Zendikar
mtg_85_r_bfz_normal,https://card-images.fetchtcg.com/mtg/2507/large/mtg_85_r_bfz_normal.png,Scatter to the Winds,85,Rare,Normal,Battle for Zendikar
mtg_73_r_bbd_foil,https://card-images.fetchtcg.com/mtg/2503/large/mtg_73_r_bbd_foil.png,Pir's Whim,73,Rare,Foil,Battlebond
mtg_73_r_bbd_normal,https://card-images.fetchtcg.com/mtg/2503/large/mtg_73_r_bbd_normal.png,Pir's Whim,73,Rare,Normal,Battlebond
mtg_83_morphic-pool_r_bbd_foil,https://card-images.fetchtcg.com/mtg/2503/large/mtg_83_morphic-pool_r_bbd_foil.png,Morphic Pool,83_morphic-pool,Rare,Foil,Battlebond
mtg_83_morphic-pool_r_bbd_normal,https://card-images.fetchtcg.com/mtg/2503/large/mtg_83_morphic-pool_r_bbd_normal.png,Morphic Pool,83_morphic-pool,Rare,Normal,Battlebond
mtg_129_r_blb_foil,https://card-images.fetchtcg.com/mtg/2516/large/mtg_129_r_blb_foil.png,Byway Barterer,129,Rare,Foil,Bloomburrow
mtg_129_r_blb_normal,https://card-images.fetchtcg.com/mtg/2516/large/mtg_129_r_blb_normal.png,Byway Barterer,129,Rare,Normal,Bloomburrow
mtg_180_r_blb_foil,https://card-images.fetchtcg.com/mtg/2516/large/mtg_180_r_blb_foil.png,Innkeeper's Talent,180,Rare,Foil,Bloomburrow
mtg_180_r_blb_normal,https://card-images.fetchtcg.com/mtg/2516/large/mtg_180_r_blb_normal.png,Innkeeper's Talent,180,Rare,Normal,Bloomburrow
mtg_183_m_blb_foil,https://card-images.fetchtcg.com/mtg/2516/large/mtg_183_m_blb_foil.png,"Lumra, Bellow of the Woods",183,Mythic,Foil,Bloomburrow
mtg_183_m_blb_normal,https://card-images.fetchtcg.com/mtg/2516/large/mtg_183_m_blb_normal.png,"Lumra, Bellow of the Woods",183,Mythic,Normal,Bloomburrow
mtg_204_r_blb_foil,https://card-images.fetchtcg.com/mtg/2516/large/mtg_204_r_blb_foil.png,"Alania, Divergent Storm",204,Rare,Foil,Bloomburrow
mtg_204_r_blb_normal,https://card-images.fetchtcg.com/mtg/2516/large/mtg_204_r_blb_normal.png,"Alania, Divergent Storm",204,Rare,Normal,Bloomburrow
mtg_252_fabled-passage_r_blb_foil,https://card-images.fetchtcg.com/mtg/2516/large/mtg_252_fabled-passage_r_blb_foil.png,Fabled Passage,252_fabled-passage,Rare,Foil,Bloomburrow
mtg_252_fabled-passage_r_blb_normal,https://card-images.fetchtcg.com/mtg/2516/large/mtg_252_fabled-passage_r_blb_normal.png,Fabled Passage,252_fabled-passage,Rare,Normal,Bloomburrow
mtg_253_fountainport_r_blb_foil,https://card-images.fetchtcg.com/mtg/2516/large/mtg_253_fountainport_r_blb_foil.png,Fountainport,253_fountainport,Rare,Foil,Bloomburrow
mtg_253_fountainport_r_blb_normal,https://card-images.fetchtcg.com/mtg/2516/large/mtg_253_fountainport_r_blb_normal.png,Fountainport,253_fountainport,Rare,Normal,Bloomburrow
mtg_276_m_blc_normal,https://card-images.fetchtcg.com/mtg/2518/large/mtg_276_m_blc_normal.png,Helm of the Host,276,Mythic,Normal,Bloomburrow Commander
mtg_149_scrying-sheets_r_csp_foil,https://card-images.fetchtcg.com/mtg/2539/large/mtg_149_scrying-sheets_r_csp_foil.png,Scrying Sheets,149_scrying-sheets,Rare,Foil,Coldsnap
mtg_149_scrying-sheets_r_csp_normal,https://card-images.fetchtcg.com/mtg/2539/large/mtg_149_scrying-sheets_r_csp_normal.png,Scrying Sheets,149_scrying-sheets,Rare,Normal,Coldsnap
mtg_c-td-140_R_standard_normal,https://card-images.fetchtcg.com/mtg/4397/large/mtg_c-td-140_R_standard_normal.png,Welcoming Vampire,140,Rare,Normal,Commander - Tarkir Dragonstorm
mtg_c-td-164_R_standard_normal,https://card-images.fetchtcg.com/mtg/4397/large/mtg_c-td-164_R_standard_normal.png,Reflections of Littjara,164,Rare,Normal,Commander - Tarkir Dragonstorm
mtg_109_u_cmd_normal,https://card-images.fetchtcg.com/mtg/2543/large/mtg_109_u_cmd_normal.png,Anger,109,Uncommon,Normal,Commander 2011
mtg_186_m_c13_normal,https://card-images.fetchtcg.com/mtg/2545/large/mtg_186_m_c13_normal.png,"Derevi, Empyrial Tactician",186,Mythic,Normal,Commander 2013
mtg_262_r_c13_normal,https://card-images.fetchtcg.com/mtg/2545/large/mtg_262_r_c13_normal.png,Surveyor's Scope,262,Rare,Normal,Commander 2013
mtg_177_r_c15_normal,https://card-images.fetchtcg.com/mtg/2550/large/mtg_177_r_c15_normal.png,Caller of the Claw,177,Rare,Normal,Commander 2015
mtg_95_r_c15_normal,https://card-images.fetchtcg.com/mtg/2550/large/mtg_95_r_c15_normal.png,Jace's Archivist,95,Rare,Normal,Commander 2015
mtg_170_r_c16_normal,https://card-images.fetchtcg.com/mtg/2553/large/mtg_170_r_c16_normal.png,Tempt with Discovery,170,Rare,Normal,Commander 2016
mtg_228_r_c18_normal,https://card-images.fetchtcg.com/mtg/2559/large/mtg_228_r_c18_normal.png,Unwinding Clock,228,Rare,Normal,Commander 2018
mtg_16_m_c20_foil,https://card-images.fetchtcg.com/mtg/2565/large/mtg_16_m_c20_foil.png,"Tayam, Luminous Enigma",16,Mythic,Foil,Commander 2020
mtg_16_m_c20_normal,https://card-images.fetchtcg.com/mtg/2565/large/mtg_16_m_c20_normal.png,"Tayam, Luminous Enigma",16,Mythic,Normal,Commander 2020
mtg_153_r_c21_normal,https://card-images.fetchtcg.com/mtg/2568/large/mtg_153_r_c21_normal.png,Sanguine Bond,153,Rare,Normal,Commander 2021
mtg_164_m_c21_normal,https://card-images.fetchtcg.com/mtg/2568/large/mtg_164_m_c21_normal.png,"Daretti, Scrap Savant",164,Mythic,Normal,Commander 2021
mtg_165_r_c21_normal,https://card-images.fetchtcg.com/mtg/2568/large/mtg_165_r_c21_normal.png,Dualcaster Mage,165,Rare,Normal,Commander 2021
mtg_273_r_c21_normal,https://card-images.fetchtcg.com/mtg/2568/large/mtg_273_r_c21_normal.png,Venser's Journal,273,Rare,Normal,Commander 2021
mtg_62_r_cm2_normal,https://card-images.fetchtcg.com/mtg/2572/large/mtg_62_r_cm2_normal.png,Extractor Demon,62,Rare,Normal,Commander Anthology Volume II
mtg_197_u_cmr_foil,https://card-images.fetchtcg.com/mtg/2577/large/mtg_197_u_cmr_foil.png,"Rograkh, Son of Rohgahh",197,Uncommon,Foil,Commander Legends
mtg_197_u_cmr_normal,https://card-images.fetchtcg.com/mtg/2577/large/mtg_197_u_cmr_normal.png,"Rograkh, Son of Rohgahh",197,Uncommon,Normal,Commander Legends
mtg_358_training-center_r_cmr_foil,https://card-images.fetchtcg.com/mtg/2577/large/mtg_358_training-center_r_cmr_foil.png,Training Center,358_training-center,Rare,Foil,Commander Legends
mtg_358_training-center_r_cmr_normal,https://card-images.fetchtcg.com/mtg/2577/large/mtg_358_training-center_r_cmr_normal.png,Training Center,358_training-center,Rare,Normal,Commander Legends
mtg_360_vault-of-champions_r_cmr_foil,https://card-images.fetchtcg.com/mtg/2577/large/mtg_360_vault-of-champions_r_cmr_foil.png,Vault of Champions,360_vault-of-champions,Rare,Foil,Commander Legends
mtg_360_vault-of-champions_r_cmr_normal,https://card-images.fetchtcg.com/mtg/2577/large/mtg_360_vault-of-champions_r_cmr_normal.png,Vault of Champions,360_vault-of-champions,Rare,Normal,Commander Legends
mtg_846_r_clb_normal,https://card-images.fetchtcg.com/mtg/2578/large/mtg_846_r_clb_normal.png,Firja's Retribution,846,Rare,Normal,Commander Legends: Battle for Baldur's Gate
mtg_265_r_cmm_foil,https://card-images.fetchtcg.com/mtg/2585/large/mtg_265_r_cmm_foil.png,Treasure Nabber,265,Rare,Foil,Commander Masters
mtg_265_r_cmm_normal,https://card-images.fetchtcg.com/mtg/2585/large/mtg_265_r_cmm_normal.png,Treasure Nabber,265,Rare,Normal,Commander Masters
mtg_331_r_cmm_foil,https://card-images.fetchtcg.com/mtg/2585/large/mtg_331_r_cmm_foil.png,Wayward Swordtooth,331,Rare,Foil,Commander Masters
mtg_331_r_cmm_normal,https://card-images.fetchtcg.com/mtg/2585/large/mtg_331_r_cmm_normal.png,Wayward Swordtooth,331,Rare,Normal,Commander Masters
mtg_340_r_cmm_foil,https://card-images.fetchtcg.com/mtg/2585/large/mtg_340_r_cmm_foil.png,"Hanna, Ship's Navigator",340,Rare,Foil,Commander Masters
mtg_340_r_cmm_normal,https://card-images.fetchtcg.com/mtg/2585/large/mtg_340_r_cmm_normal.png,"Hanna, Ship's Navigator",340,Rare,Normal,Commander Masters
mtg_828_r_cmm_normal,https://card-images.fetchtcg.com/mtg/2585/large/mtg_828_r_cmm_normal.png,Mesa Enchantress,828,Rare,Normal,Commander Masters
mtg_909_r_cmm_normal,https://card-images.fetchtcg.com/mtg/2585/large/mtg_909_r_cmm_normal.png,Realmwalker,909,Rare,Normal,Commander Masters
mtg_ceoe-122_R_standard_normal,https://card-images.fetchtcg.com/mtg/4450/large/mtg_ceoe-122_R_standard_normal.png,"Mazirek, Kraul Death Priest",122,Rare,Normal,Commander: Edge of Eternities
mtg_ceoe-14_R_standard_normal,https://card-images.fetchtcg.com/mtg/4450/large/mtg_ceoe-14_R_standard_normal.png,Exploration Broodship,14,Rare,Normal,Commander: Edge of Eternities
mtg_ceoe-152_R_standard_normal,https://card-images.fetchtcg.com/mtg/4450/large/mtg_ceoe-152_R_standard_normal.png,Canyon Slough,152,Rare,Normal,Commander: Edge of Eternities
mtg_ceoe-154_R_standard_normal,https://card-images.fetchtcg.com/mtg/4450/large/mtg_ceoe-154_R_standard_normal.png,Cinder Glade,154,Rare,Normal,Commander: Edge of Eternities
mtg_ceoe-178_R_standard_normal,https://card-images.fetchtcg.com/mtg/4450/large/mtg_ceoe-178_R_standard_normal.png,Sheltered Thicket,178,Rare,Normal,Commander: Edge of Eternities
mtg_ceoe-182_R_standard_normal,https://card-images.fetchtcg.com/mtg/4450/large/mtg_ceoe-182_R_standard_normal.png,Smoldering Marsh,182,Rare,Normal,Commander: Edge of Eternities
mtg_cffmtg-329_R_standard_normal,https://card-images.fetchtcg.com/mtg/4232/large/mtg_cffmtg-329_R_standard_normal.png,Ruinous Ultimatum,329,Rare,Normal,Commander: FINAL FANTASY
mtg_cffmtg-417_R_standard_normal,https://card-images.fetchtcg.com/mtg/4232/large/mtg_cffmtg-417_R_standard_normal.png,Rugged Prairie,417,Rare,Normal,Commander: FINAL FANTASY
mtg_cffmtg-5_M_standard_foil,https://card-images.fetchtcg.com/mtg/4232/large/mtg_cffmtg-5_M_standard_foil.png,"Tidus, Yuna's Guardian",5,Mythic,Foil,Commander: FINAL FANTASY
mtg_cffmtg-5_M_standard_normal,https://card-images.fetchtcg.com/mtg/4232/large/mtg_cffmtg-5_M_standard_normal.png,"Tidus, Yuna's Guardian",5,Mythic,Normal,Commander: FINAL FANTASY
mtg_ctmnt-10_R_standard_normal,https://card-images.fetchtcg.com/mtg/4466/large/mtg_ctmnt-10_R_standard_normal.png,"Baxter, Fly in the Ointment",10,Rare,Normal,Commander: Teenage Mutant Ninja Turtles
mtg_ctmnt-11_R_standard_normal,https://card-images.fetchtcg.com/mtg/4466/large/mtg_ctmnt-11_R_standard_normal.png,Here Comes a New Hero!,11,Rare,Normal,Commander: Teenage Mutant Ninja Turtles
mtg_ctmnt-12_R_standard_normal,https://card-images.fetchtcg.com/mtg/4466/large/mtg_ctmnt-12_R_standard_normal.png,"Irma, Part-Time Mutant",12,Rare,Normal,Commander: Teenage Mutant Ninja Turtles
mtg_ctmnt-13_R_standard_normal,https://card-images.fetchtcg.com/mtg/4466/large/mtg_ctmnt-13_R_standard_normal.png,"Krang, the All-Powerful",13,Rare,Normal,Commander: Teenage Mutant Ninja Turtles
mtg_ctmnt-14_R_standard_normal,https://card-images.fetchtcg.com/mtg/4466/large/mtg_ctmnt-14_R_standard_normal.png,"Ray Fillet, Wave Warrior",14,Rare,Normal,Commander: Teenage Mutant Ninja Turtles
mtg_ctmnt-15_R_standard_normal,https://card-images.fetchtcg.com/mtg/4466/large/mtg_ctmnt-15_R_standard_normal.png,"Bebop, Skull & Crossbones",15,Rare,Normal,Commander: Teenage Mutant Ninja Turtles
mtg_ctmnt-16_R_standard_normal,https://card-images.fetchtcg.com/mtg/4466/large/mtg_ctmnt-16_R_standard_normal.png,Dimension X Pizzasaur,16,Rare,Normal,Commander: Teenage Mutant Ninja Turtles
mtg_ctmnt-17_R_standard_normal,https://card-images.fetchtcg.com/mtg/4466/large/mtg_ctmnt-17_R_standard_normal.png,Foot Chopper,17,Rare,Normal,Commander: Teenage Mutant Ninja Turtles
mtg_ctmnt-18_R_standard_normal,https://card-images.fetchtcg.com/mtg/4466/large/mtg_ctmnt-18_R_standard_normal.png,Game Over,18,Rare,Normal,Commander: Teenage Mutant Ninja Turtles
mtg_ctmnt-19_R_standard_foil,https://card-images.fetchtcg.com/mtg/4466/large/mtg_ctmnt-19_R_standard_foil.png,"Rat King, Pale Piper",19,Rare,Foil,Commander: Teenage Mutant Ninja Turtles
mtg_ctmnt-19_R_standard_normal,https://card-images.fetchtcg.com/mtg/4466/large/mtg_ctmnt-19_R_standard_normal.png,"Rat King, Pale Piper",19,Rare,Normal,Commander: Teenage Mutant Ninja Turtles
mtg_ctmnt-20_R_standard_foil,https://card-images.fetchtcg.com/mtg/4466/large/mtg_ctmnt-20_R_standard_foil.png,"Shredder, Shadow Master",20,Rare,Foil,Commander: Teenage Mutant Ninja Turtles
